software mouseReMoCo;version 1.3.0;isWithLSL false;screenWidth 1447;screenHeight 736;centerX 723;centerY 368;autoStart 3600;cycleMaxNumber 6;cycleDuration 20;borderColor java.awt.Color[r=255,g=255,b=255];textColor java.awt.Color[r=255,g=255,b=255];backgroundColor java.awt.Color[r=0,g=0,b=0];cursorColorRecord java.awt.Color[r=255,g=0,b=0];cursorColorWait java.awt.Color[r=255,g=255,b=0];task circular;cornerX 435;cornerY 80;externalRadius 288;internalRadius 208;borderRadius 1;cursorRadius 16;indexOfDifficulty 33.086986458020164;taskRadius 247.5;taskTolerance 47
2025-11-29 14:48:45.048 +0100

timestamp,mouseX,mouseY,mouseInTarget
1764424127595,684,123,1
1764424127611,686,123,1
1764424127627,687,124,1
1764424127627,688,125,1
1764424127646,690,125,1
1764424127646,691,125,1
1764424127658,692,125,1
1764424127658,694,125,1
1764424127674,694,126,1
1764424127690,695,126,1
1764424127706,696,127,1
1764424127738,697,127,1
1764424127754,698,127,1
1764424127786,699,127,1
1764424127802,700,127,1
1764424127802,702,127,1
1764424127818,703,127,1
1764424127818,704,126,1
1764424127834,707,126,1
1764424127834,709,126,1
1764424127852,711,124,1
1764424127860,712,124,1
1764424127866,714,124,1
1764424127866,716,124,1
1764424127881,717,124,1
1764424127881,718,124,1
1764424127897,720,124,1
1764424127897,721,124,1
1764424127913,722,124,1
1764424127913,723,124,1
1764424127929,724,124,1
1764424127929,725,124,1
1764424127945,727,124,1
1764424127945,728,124,1
1764424127961,729,124,1
1764424127961,730,124,1
1764424127977,732,124,1
1764424127977,733,124,1
1764424127993,734,124,1
1764424127993,735,124,1
1764424128009,736,124,1
1764424128009,737,124,1
1764424128024,738,124,1
1764424128041,739,124,1
1764424128041,740,124,1
1764424128056,741,124,1
1764424128056,743,124,1
1764424128072,745,124,1
1764424128072,747,124,1
1764424128092,748,124,1
1764424128096,750,124,1
1764424128103,753,124,1
1764424128103,756,124,1
1764424128119,758,124,1
1764424128119,760,124,1
1764424128135,762,125,1
1764424128135,764,125,1
1764424128151,766,126,1
1764424128151,769,127,1
1764424128167,772,127,1
1764424128167,774,128,1
1764424128183,776,129,1
1764424128183,778,129,1
1764424128199,780,129,1
1764424128199,783,130,1
1764424128215,787,131,1
1764424128215,790,131,1
1764424128231,793,132,1
1764424128231,796,133,1
1764424128247,798,133,1
1764424128247,801,134,1
1764424128262,804,135,1
1764424128262,807,136,1
1764424128278,809,136,1
1764424128278,811,136,1
1764424128294,813,137,1
1764424128294,815,138,1
1764424128310,816,138,1
1764424128326,819,138,1
1764424128326,821,139,1
1764424128342,823,140,1
1764424128342,826,141,1
1764424128357,829,141,1
1764424128357,832,142,1
1764424128373,834,143,1
1764424128373,837,144,1
1764424128389,839,145,1
1764424128389,841,146,1
1764424128389,843,147,1
1764424128405,845,147,1
1764424128421,846,148,1
1764424128421,847,149,1
1764424128437,849,149,1
1764424128437,850,150,1
1764424128437,852,151,1
